Day of Date,Display Sheet,Date,Show data by calc,Confirmed New,Confirmed versus Probable Switcher,Confirmed versus Probable Switcher 1,Confirmed versus Probable Switcher 2,ConProb,Deaths,Grand Total,Log Versus Linear Switcher,New,Onset Confirmed,Onset Probable,Probable NEW,Public Health District 1,Public Health District 2,Public Health District 3,Public Health District 4,Public Health District 5,Public Health District 6,Public Health District 7,Testing Missing,Testing1,Testing2,Testing3,Testing4,Testing5,Testing6,Testing7,Total NEW
"February 23, 2020",Linear,2/23/2020,Daily Trend Total,,,,,,,1,,718,1,,,,,,,1,,,,,,,,,,,
"February 24, 2020",Linear,2/24/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"February 25, 2020",Linear,2/25/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"February 26, 2020",Linear,2/26/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,1,
"February 27, 2020",Linear,2/27/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,
"February 28, 2020",Linear,2/28/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,
"February 29, 2020",Linear,2/29/2020,Daily Trend Total,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,
"March 1, 2020",Linear,3/1/2020,Daily Trend Total,,,,,,,4,,,4,,,,,,,4,,,,0,1,0,0,0,0,0,
"March 2, 2020",Linear,3/2/2020,Daily Trend Total,,,,,,,4,,,3,1,,,,1,2,1,,,,0,0,3,0,1,0,0,
"March 3, 2020",Linear,3/3/2020,Daily Trend Total,,,,,,,2,,,2,,,,,,1,1,,,,1,1,2,0,0,0,0,
"March 4, 2020",Linear,3/4/2020,Daily Trend Total,,,,,,,2,,,2,,,,,,,2,,,,1,0,1,4,0,0,0,
"March 5, 2020",Linear,3/5/2020,Daily Trend Total,,,,,,,4,,,4,,,,,,2,2,,,,0,0,3,0,0,0,0,
"March 6, 2020",Linear,3/6/2020,Daily Trend Total,,,,,,,9,,,9,,,1,,1,2,4,,1,,0,0,0,3,1,0,0,
"March 7, 2020",Linear,3/7/2020,Daily Trend Total,,,,,,,8,,,8,,,,,,2,6,,,,0,1,1,1,0,0,0,
"March 8, 2020",Linear,3/8/2020,Daily Trend Total,,,,,,,6,,,6,,,,,1,2,2,,1,,2,0,0,1,0,0,0,
"March 9, 2020",Linear,3/9/2020,Daily Trend Total,,,,,,,25,,,25,,,,,3,7,14,,1,,7,1,3,4,3,2,2,
"March 10, 2020",Linear,3/10/2020,Daily Trend Total,,,,,,,25,,,25,,,,1,2,6,15,,1,,9,0,3,7,3,0,0,
"March 11, 2020",Linear,3/11/2020,Daily Trend Total,,,,,,,25,,,25,,,,,,9,16,,,,16,1,0,0,0,3,0,
"March 12, 2020",Linear,3/12/2020,Daily Trend Total,,,,,,,35,,,35,,,,,3,17,13,,2,,31,2,15,37,4,11,3,
"March 13, 2020",Linear,3/13/2020,Daily Trend Total,2,,,,2,,66,,,65,1,0,,,4,12,48,1,1,,67,1,15,34,5,6,8,2
"March 14, 2020",Linear,3/14/2020,Daily Trend Total,3,,,,3,,53,,,53,,0,,,6,16,30,,1,,34,0,13,57,10,12,10,3
"March 15, 2020",Linear,3/15/2020,Daily Trend Total,1,,,,1,,68,,,67,1,0,3,1,3,18,42,1,,,51,1,31,68,11,1,17,1
"March 16, 2020",Linear,3/16/2020,Daily Trend Total,5,,,,5,,74,,,74,,0,,,9,23,41,,1,,187,2,46,109,18,16,18,5
"March 17, 2020",Linear,3/17/2020,Daily Trend Total,3,,,,3,,65,,,65,,0,1,1,12,25,22,1,3,,186,21,39,124,17,26,29,3
"March 18, 2020",Linear,3/18/2020,Daily Trend Total,6,,,,6,,74,,,73,1,0,,1,7,24,40,,2,,148,20,45,78,16,14,15,6
"March 19, 2020",Linear,3/19/2020,Daily Trend Total,11,,,,11,,69,,,68,1,0,1,2,8,24,33,,1,,93,8,55,147,35,15,10,11
"March 20, 2020",Linear,3/20/2020,Daily Trend Total,9,,,,9,,73,,,73,,0,,1,7,26,37,1,1,,34,6,95,230,52,14,23,9
"March 21, 2020",Linear,3/21/2020,Daily Trend Total,7,,,,7,,52,,,49,3,0,,1,1,23,24,,3,,21,8,60,160,32,9,3,7
"March 22, 2020",Linear,3/22/2020,Daily Trend Total,3,,,,3,1,53,,,52,1,0,,2,6,19,23,1,2,,35,2,67,265,49,11,3,3
"March 23, 2020",Linear,3/23/2020,Daily Trend Total,32,,,,32,1,56,,,56,,0,1,3,7,22,22,1,,,133,21,180,430,122,21,21,32
"March 24, 2020",Linear,3/24/2020,Daily Trend Total,22,,,,22,1,49,,,41,8,0,,9,9,15,16,,,,165,19,154,405,162,13,25,22
"March 25, 2020",Linear,3/25/2020,Daily Trend Total,46,,,,46,,73,,,70,3,0,1,9,13,24,22,1,3,,133,16,140,327,87,12,24,46
"March 26, 2020",Linear,3/26/2020,Daily Trend Total,60,,,,60,2,45,,,44,1,0,,2,1,29,13,,,,178,17,114,322,137,12,10,60
